"S. No","Time","factory_id","COD - (mg/l) Raw","BOD - (mg/l) Raw","pH - (pH) Raw","TSS - (mg/l) Raw"
"4408","2026-02-04 01:27","FACTORY_A","120.73","45.31","7.23","81.31"
"4409","2026-02-04 01:28","FACTORY_A","119.83","44.11","7.17","81.95"
"4410","2026-02-04 01:29","FACTORY_A","114.91","46.53","7.18","83.26"
"4411","2026-02-04 01:30","FACTORY_A","124.29","45.62","7.23","82.17"
"4412","2026-02-04 01:31","FACTORY_A","119.59","46.55","7.24","84.91"
"4413","2026-02-04 01:32","FACTORY_A","122.24","43.89","7.23","80.26"
"4414","2026-02-04 01:33","FACTORY_A","117.74","42.93","7.20","80.85"
"4415","2026-02-04 01:34","FACTORY_A","119.51","45.65","7.21","75.00"
"4416","2026-02-04 01:35","FACTORY_A","117.40","43.56","7.25","84.92"
"4417","2026-02-04 01:36","FACTORY_A","123.71","46.58","7.15","88.56"
"4418","2026-02-04 01:37","FACTORY_A","120.93","41.81","7.20","70.99"
"4419","2026-02-04 01:38","FACTORY_A","121.10","44.30","7.05","83.20"
"4420","2026-02-04 01:39","FACTORY_A","124.07","44.08","7.24","79.27"
"4421","2026-02-04 01:40","FACTORY_A","123.47","44.50","7.16","79.08"
"4422","2026-02-04 01:41","FACTORY_A","122.30","45.39","7.16","83.14"
"4423","2026-02-04 01:42","FACTORY_A","115.73","45.59","7.19","79.85"
"4424","2026-02-04 01:43","FACTORY_A","117.91","45.96","7.23","81.96"
"4425","2026-02-04 01:44","FACTORY_A","116.99","46.13","7.32","78.20"
"4426","2026-02-04 01:45","FACTORY_A","122.18","44.74","7.12","87.52"
"4427","2026-02-04 01:46","FACTORY_A","120.51","48.16","7.16","78.84"
"4428","2026-02-04 01:47","FACTORY_A","115.83","47.08","7.21","76.19"
"4429","2026-02-04 01:48","FACTORY_A","119.43","44.53","7.16","81.73"
"4430","2026-02-04 01:49","FACTORY_A","115.52","44.79","7.24","75.83"
"4431","2026-02-04 01:50","FACTORY_A","119.84","44.50","7.19","81.17"
"4432","2026-02-04 01:51","FACTORY_A","115.03","45.54","7.24","88.24"
"4433","2026-02-04 01:52","FACTORY_A","121.59","43.54","7.19","79.78"
"4434","2026-02-04 01:53","FACTORY_A","121.13","43.82","7.23","73.23"
"4435","2026-02-04 01:54","FACTORY_A","125.72","41.75","7.15","77.92"
"4436","2026-02-04 01:55","FACTORY_A","122.54","44.40","7.30","84.06"
"4437","2026-02-04 01:56","FACTORY_A","118.73","46.60","7.12","80.53"
"4438","2026-02-04 01:57","FACTORY_A","122.45","44.77","7.16","83.51"
"4439","2026-02-04 01:58","FACTORY_A","115.81","44.86","7.13","76.84"
"4440","2026-02-04 01:59","FACTORY_A","117.11","45.42","7.24","77.94"
"4441","2026-02-04 02:00","FACTORY_A","121.00","43.50","7.23","83.17"
"4442","2026-02-04 02:01","FACTORY_A","113.53","45.04","7.14","88.05"
"4443","2026-02-04 02:02","FACTORY_A","119.89","46.34","7.25","78.06"
"4444","2026-02-04 02:03","FACTORY_A","116.94","45.46","7.17","80.19"
"4445","2026-02-04 02:04","FACTORY_A","120.30","46.47","7.22","85.50"
"4446","2026-02-04 02:05","FACTORY_A","116.77","46.90","7.23","80.66"
"4447","2026-02-04 02:06","FACTORY_A","121.27","45.99","7.19","83.19"
"4448","2026-02-04 02:07","FACTORY_A","120.06","43.93","7.25","76.30"
"4449","2026-02-04 02:08","FACTORY_A","124.20","44.48","7.19","80.02"
"4450","2026-02-04 02:09","FACTORY_A","120.02","47.90","7.22","76.89"
"4451","2026-02-04 02:10","FACTORY_A","117.69","45.47","7.19","71.57"
"4452","2026-02-04 02:11","FACTORY_A","119.26","45.27","7.11","75.58"
"4453","2026-02-04 02:12","FACTORY_A","115.97","43.71","7.19","82.24"
"4454","2026-02-04 02:13","FACTORY_A","121.22","44.86","7.16","82.76"
"4455","2026-02-04 02:14","FACTORY_A","121.77","46.07","7.27","83.84"
"4456","2026-02-04 02:15","FACTORY_A","127.41","45.02","7.13","82.54"
"4457","2026-02-04 02:16","FACTORY_A","118.13","44.22","7.26","78.89"
"4458","2026-02-04 02:17","FACTORY_A","119.20","44.57","7.19","70.83"
"4459","2026-02-04 02:18","FACTORY_A","118.27","46.79","7.22","74.28"
"4460","2026-02-04 02:19","FACTORY_A","120.64","46.00","7.13","85.52"
"4461","2026-02-04 02:20","FACTORY_A","121.15","45.80","7.18","75.79"
"4462","2026-02-04 02:21","FACTORY_A","119.84","45.66","7.17","79.63"
"4463","2026-02-04 02:22","FACTORY_A","123.26","43.23","7.31","80.31"
"4464","2026-02-04 02:23","FACTORY_A","118.15","45.41","7.17","73.07"
"4465","2026-02-04 02:24","FACTORY_A","122.96","46.60","7.26","81.66"
"4466","2026-02-04 02:25","FACTORY_A","121.62","44.61","7.26","87.64"
"4467","2026-02-04 02:26","FACTORY_A","119.96","46.47","7.26","79.91"
"4468","2026-02-04 02:27","FACTORY_A","119.06","45.82","7.17","78.65"
"4469","2026-02-04 02:28","FACTORY_A","127.28","46.24","7.29","74.21"
"4470","2026-02-04 02:29","FACTORY_A","117.55","45.08","7.30","78.63"
"4471","2026-02-04 02:30","FACTORY_A","120.89","46.33","7.22","82.71"
"4472","2026-02-04 02:31","FACTORY_A","117.75","42.80","7.18","79.97"
"4473","2026-02-04 02:32","FACTORY_A","125.36","45.05","7.16","77.80"
"4474","2026-02-04 02:33","FACTORY_A","122.66","46.07","7.22","85.03"
"4475","2026-02-04 02:34","FACTORY_A","117.96","45.44","7.20","78.69"
"4476","2026-02-04 02:35","FACTORY_A","121.54","46.64","7.21","77.86"
"4477","2026-02-04 02:36","FACTORY_A","120.77","44.76","7.13","80.71"
"4478","2026-02-04 02:37","FACTORY_A","118.45","44.18","7.20","86.53"
"4479","2026-02-04 02:38","FACTORY_A","122.27","42.54","7.26","79.23"
"4480","2026-02-04 02:39","FACTORY_A","121.17","44.59","7.24","75.57"
"4481","2026-02-04 02:40","FACTORY_A","120.65","45.78","7.18","82.73"
"4482","2026-02-04 02:41","FACTORY_A","119.87","46.14","7.19","78.34"
"4483","2026-02-04 02:42","FACTORY_A","121.29","42.90","7.13","82.77"
"4484","2026-02-04 02:43","FACTORY_A","120.69","46.76","7.17","69.76"
"4485","2026-02-04 02:44","FACTORY_A","120.18","43.54","7.18","80.18"
"4486","2026-02-04 02:45","FACTORY_A","118.08","44.82","7.23","78.76"
"4487","2026-02-04 02:46","FACTORY_A","125.08","44.15","7.16","75.20"
"4488","2026-02-04 02:47","FACTORY_A","116.85","45.63","7.15","73.94"
"4489","2026-02-04 02:48","FACTORY_A","121.28","45.14","7.24","78.60"
"4490","2026-02-04 02:49","FACTORY_A","119.04","46.02","7.18","74.65"
"4491","2026-02-04 02:50","FACTORY_A","125.28","47.77","7.16","65.17"
"4492","2026-02-04 02:51","FACTORY_A","117.29","45.60","7.24","74.12"
"4493","2026-02-04 02:52","FACTORY_A","117.79","44.13","7.22","73.91"
"4494","2026-02-04 02:53","FACTORY_A","117.09","45.69","7.19","80.15"
"4495","2026-02-04 02:54","FACTORY_A","120.97","47.92","7.18","74.06"
"4496","2026-02-04 02:55","FACTORY_A","115.88","45.98","7.22","80.00"
"4497","2026-02-04 02:56","FACTORY_A","118.56","46.42","7.23","75.23"
"4498","2026-02-04 02:57","FACTORY_A","113.54","42.61","7.21","83.91"
"4499","2026-02-04 02:58","FACTORY_A","120.72","45.58","7.21","81.87"
"4500","2026-02-04 02:59","FACTORY_A","118.50","44.60","7.17","78.50"
"4501","2026-02-04 03:00","FACTORY_A","115.54","43.98","7.17","80.72"
"4502","2026-02-04 03:01","FACTORY_A","123.26","44.97","7.19","82.87"
"4503","2026-02-04 03:02","FACTORY_A","116.08","45.16","7.15","80.31"
"4504","2026-02-04 03:03","FACTORY_A","122.39","44.06","7.15","80.71"
"4505","2026-02-04 03:04","FACTORY_A","117.90","45.28","7.20","69.46"
"4506","2026-02-04 03:05","FACTORY_A","124.80","44.74","7.25","77.41"
"4507","2026-02-04 03:06","FACTORY_A","122.25","46.05","7.10","76.11"
"4508","2026-02-04 03:07","FACTORY_A","116.98","45.34","7.18","85.25"
"4509","2026-02-04 03:08","FACTORY_A","117.25","45.56","7.21","78.05"
"4510","2026-02-04 03:09","FACTORY_A","121.82","46.47","7.25","76.63"
"4511","2026-02-04 03:10","FACTORY_A","119.21","45.83","7.29","82.90"
"4512","2026-02-04 03:11","FACTORY_A","119.49","44.99","7.19","72.41"
"4513","2026-02-04 03:12","FACTORY_A","123.82","41.87","7.30","79.57"
"4514","2026-02-04 03:13","FACTORY_A","117.75","45.77","7.22","70.12"
"4515","2026-02-04 03:14","FACTORY_A","120.27","43.63","7.24","76.40"
"4516","2026-02-04 03:15","FACTORY_A","122.86","44.87","7.15","77.69"
"4517","2026-02-04 03:16","FACTORY_A","122.43","45.56","7.22","87.29"
"4518","2026-02-04 03:17","FACTORY_A","119.52","47.00","7.25","79.26"
"4519","2026-02-04 03:18","FACTORY_A","119.13","47.76","7.17","75.55"
"4520","2026-02-04 03:19","FACTORY_A","114.78","43.62","7.07","79.33"
"4521","2026-02-04 03:20","FACTORY_A","116.83","43.03","7.21","87.20"
"4522","2026-02-04 03:21","FACTORY_A","120.96","45.49","7.19","69.73"
"4523","2026-02-04 03:22","FACTORY_A","119.59","45.36","7.27","83.86"
"4524","2026-02-04 03:23","FACTORY_A","120.22","43.20","7.17","81.90"
"4525","2026-02-04 03:24","FACTORY_A","123.12","44.98","7.16","79.42"
"4526","2026-02-04 03:25","FACTORY_A","116.44","45.90","7.14","78.45"
"4527","2026-02-04 03:26","FACTORY_A","119.29","43.15","7.17","87.19"
"4528","2026-02-04 03:27","FACTORY_A","120.57","43.51","7.33","83.59"
"4529","2026-02-04 03:28","FACTORY_A","117.89","44.03","7.12","74.81"
"4530","2026-02-04 03:29","FACTORY_A","124.29","44.68","7.13","80.11"
"4531","2026-02-04 03:30","FACTORY_A","122.73","46.04","7.20","86.23"
"4532","2026-02-04 03:31","FACTORY_A","120.87","44.51","7.30","82.69"
"4533","2026-02-04 03:32","FACTORY_A","125.38","45.08","7.24","81.31"
"4534","2026-02-04 03:33","FACTORY_A","115.50","48.37","7.28","73.48"
"4535","2026-02-04 03:34","FACTORY_A","119.98","43.57","7.18","91.57"
"4536","2026-02-04 03:35","FACTORY_A","121.10","44.02","7.13","83.61"
"4537","2026-02-04 03:36","FACTORY_A","117.26","46.02","7.18","88.92"
"4538","2026-02-04 03:37","FACTORY_A","120.90","46.48","7.19","81.51"
"4539","2026-02-04 03:38","FACTORY_A","116.68","45.62","7.20","79.91"
"4540","2026-02-04 03:39","FACTORY_A","122.07","47.71","7.19","76.78"
"4541","2026-02-04 03:40","FACTORY_A","123.17","45.48","7.23","84.88"
"4542","2026-02-04 03:41","FACTORY_A","120.82","42.04","7.16","87.49"
"4543","2026-02-04 03:42","FACTORY_A","114.44","45.15","7.15","85.21"
"4544","2026-02-04 03:43","FACTORY_A","117.10","44.14","7.14","91.28"
"4545","2026-02-04 03:44","FACTORY_A","121.69","47.08","7.21","80.66"
"4546","2026-02-04 03:45","FACTORY_A","120.06","46.45","7.21","76.90"
"4547","2026-02-04 03:46","FACTORY_A","111.92","42.62","7.25","81.29"
"4548","2026-02-04 03:47","FACTORY_A","123.73","47.03","7.28","84.02"
"4549","2026-02-04 03:48","FACTORY_A","120.41","46.41","7.14","78.69"
"4550","2026-02-04 03:49","FACTORY_A","117.54","44.51","7.20","79.78"
"4551","2026-02-04 03:50","FACTORY_A","122.98","44.88","7.19","81.07"
"4552","2026-02-04 03:51","FACTORY_A","117.97","47.09","7.12","82.47"
"4553","2026-02-04 03:52","FACTORY_A","117.93","42.04","7.17","80.67"
"4554","2026-02-04 03:53","FACTORY_A","121.08","45.67","7.28","81.05"
"4555","2026-02-04 03:54","FACTORY_A","125.34","46.64","7.17","83.18"
"4556","2026-02-04 03:55","FACTORY_A","124.87","44.87","7.16","83.84"
"4557","2026-02-04 03:56","FACTORY_A","121.08","45.97","7.20","77.52"
"4558","2026-02-04 03:57","FACTORY_A","121.39","45.15","7.25","70.82"
"4559","2026-02-04 03:58","FACTORY_A","122.37","43.82","7.18","74.81"
"4560","2026-02-04 03:59","FACTORY_A","116.23","43.79","7.21","82.31"
"4561","2026-02-04 04:00","FACTORY_A","121.93","46.07","7.09","76.35"
"4562","2026-02-04 04:01","FACTORY_A","117.80","44.05","7.23","81.33"
"4563","2026-02-04 04:02","FACTORY_A","120.96","42.71","7.21","79.71"
"4564","2026-02-04 04:03","FACTORY_A","119.32","45.18","7.24","80.33"
"4565","2026-02-04 04:04","FACTORY_A","121.50","44.23","7.11","82.46"
"4566","2026-02-04 04:05","FACTORY_A","120.35","43.20","7.18","85.95"
"4567","2026-02-04 04:06","FACTORY_A","110.78","45.11","7.25","79.92"
"4568","2026-02-04 04:07","FACTORY_A","120.54","46.15","7.17","74.79"
"4569","2026-02-04 04:08","FACTORY_A","121.93","45.03","7.20","81.55"
"4570","2026-02-04 04:09","FACTORY_A","121.34","43.40","7.18","83.56"
"4571","2026-02-04 04:10","FACTORY_A","119.69","45.72","7.18","68.73"
"4572","2026-02-04 04:11","FACTORY_A","124.93","46.55","7.26","76.39"
"4573","2026-02-04 04:12","FACTORY_A","120.93","48.32","7.13","80.15"
"4574","2026-02-04 04:13","FACTORY_A","121.31","47.16","7.20","77.60"
"4575","2026-02-04 04:14","FACTORY_A","123.13","43.49","7.21","80.67"
"4576","2026-02-04 04:15","FACTORY_A","121.09","46.29","7.25","76.88"
"4577","2026-02-04 04:16","FACTORY_A","117.31","45.38","7.19","84.69"
"4578","2026-02-04 04:17","FACTORY_A","112.68","43.27","7.25","80.26"
"4579","2026-02-04 04:18","FACTORY_A","118.57","45.43","7.20","71.00"
"4580","2026-02-04 04:19","FACTORY_A","122.28","47.88","7.21","83.66"
"4581","2026-02-04 04:20","FACTORY_A","118.94","46.79","7.20","83.97"
"4582","2026-02-04 04:21","FACTORY_A","122.40","43.48","7.23","79.81"
"4583","2026-02-04 04:22","FACTORY_A","120.45","45.02","7.23","70.80"
"4584","2026-02-04 04:23","FACTORY_A","123.86","45.74","7.14","84.51"
"4585","2026-02-04 04:24","FACTORY_A","119.11","42.41","7.21","74.89"
"4586","2026-02-04 04:25","FACTORY_A","121.40","42.46","7.23","78.19"
"4587","2026-02-04 04:26","FACTORY_A","121.52","45.23","7.27","77.13"
"4588","2026-02-04 04:27","FACTORY_A","124.50","45.25","7.15","72.80"
"4589","2026-02-04 04:28","FACTORY_A","114.88","42.24","7.23","80.03"
"4590","2026-02-04 04:29","FACTORY_A","118.62","45.58","7.18","81.01"
"4591","2026-02-04 04:30","FACTORY_A","122.55","46.63","7.21","80.57"
"4592","2026-02-04 04:31","FACTORY_A","124.64","44.67","7.15","78.95"
"4593","2026-02-04 04:32","FACTORY_A","120.72","45.09","7.20","76.28"
"4594","2026-02-04 04:33","FACTORY_A","119.12","45.86","7.22","87.35"
"4595","2026-02-04 04:34","FACTORY_A","122.27","45.66","7.15","80.93"
"4596","2026-02-04 04:35","FACTORY_A","122.61","42.50","7.27","75.32"
"4597","2026-02-04 04:36","FACTORY_A","118.92","43.64","7.12","82.20"
"4598","2026-02-04 04:37","FACTORY_A","120.99","44.41","7.23","81.82"
"4599","2026-02-04 04:38","FACTORY_A","123.54","43.71","7.08","83.08"
"4600","2026-02-04 04:39","FACTORY_A","125.67","47.20","7.19","79.84"
"4601","2026-02-04 04:40","FACTORY_A","122.23","45.95","7.22","76.89"
"4602","2026-02-04 04:41","FACTORY_A","120.13","43.34","7.24","73.15"
"4603","2026-02-04 04:42","FACTORY_A","119.84","44.68","7.19","77.35"
"4604","2026-02-04 04:43","FACTORY_A","121.67","46.70","7.19","71.72"
"4605","2026-02-04 04:44","FACTORY_A","119.65","44.03","7.23","81.50"
"4606","2026-02-04 04:45","FACTORY_A","120.57","46.28","7.25","71.97"
"4607","2026-02-04 04:46","FACTORY_A","116.83","47.07","7.27","78.22"
"4608","2026-02-04 04:47","FACTORY_A","123.89","46.82","7.14","83.64"
"4609","2026-02-04 04:48","FACTORY_A","116.58","45.27","7.19","78.79"
"4610","2026-02-04 04:49","FACTORY_A","118.70","46.88","7.09","79.70"
"4611","2026-02-04 04:50","FACTORY_A","120.29","44.22","7.13","82.22"
"4612","2026-02-04 04:51","FACTORY_A","125.97","48.73","7.16","82.57"
"4613","2026-02-04 04:52","FACTORY_A","118.73","45.36","7.24","85.19"
"4614","2026-02-04 04:53","FACTORY_A","118.00","46.72","7.18","82.82"
"4615","2026-02-04 04:54","FACTORY_A","118.35","44.46","7.19","81.79"
"4616","2026-02-04 04:55","FACTORY_A","124.98","45.75","7.22","70.19"
"4617","2026-02-04 04:56","FACTORY_A","111.56","45.82","7.17","81.21"
"4618","2026-02-04 04:57","FACTORY_A","116.99","43.61","7.10","88.29"
"4619","2026-02-04 04:58","FACTORY_A","128.19","43.56","7.16","83.24"
"4620","2026-02-04 04:59","FACTORY_A","121.77","44.69","7.19","84.85"
"4621","2026-02-04 05:00","FACTORY_A","116.68","46.66","7.22","76.63"
"4622","2026-02-04 05:01","FACTORY_A","119.87","42.25","7.19","79.66"
"4623","2026-02-04 05:02","FACTORY_A","120.20","44.46","7.22","82.82"
"4624","2026-02-04 05:03","FACTORY_A","122.54","46.96","7.25","82.22"
"4625","2026-02-04 05:04","FACTORY_A","125.52","43.15","7.26","83.95"
"4626","2026-02-04 05:05","FACTORY_A","121.17","46.88","7.21","74.33"
"4627","2026-02-04 05:06","FACTORY_A","118.38","43.31","7.14","76.03"
"4628","2026-02-04 05:07","FACTORY_A","122.36","43.63","7.14","73.53"
"4629","2026-02-04 05:08","FACTORY_A","117.91","44.78","7.14","81.29"
"4630","2026-02-04 05:09","FACTORY_A","116.90","47.81","7.15","79.06"
"4631","2026-02-04 05:10","FACTORY_A","114.72","44.04","7.20","79.03"
"4632","2026-02-04 05:11","FACTORY_A","115.30","42.40","7.29","76.60"
"4633","2026-02-04 05:12","FACTORY_A","117.31","42.90","7.21","75.78"
"4634","2026-02-04 05:13","FACTORY_A","116.47","46.40","7.20","80.01"
"4635","2026-02-04 05:14","FACTORY_A","120.94","42.97","7.25","85.54"
"4636","2026-02-04 05:15","FACTORY_A","116.40","46.78","7.16","87.84"
"4637","2026-02-04 05:16","FACTORY_A","110.57","45.10","7.25","87.85"
"4638","2026-02-04 05:17","FACTORY_A","116.87","44.95","7.25","77.66"
"4639","2026-02-04 05:18","FACTORY_A","118.58","45.45","7.20","74.08"
"4640","2026-02-04 05:19","FACTORY_A","118.18","43.80","7.30","84.42"
"4641","2026-02-04 05:20","FACTORY_A","124.56","45.21","7.26","86.37"
"4642","2026-02-04 05:21","FACTORY_A","118.16","43.21","7.20","82.09"
"4643","2026-02-04 05:22","FACTORY_A","122.64","47.02","7.19","79.89"
"4644","2026-02-04 05:23","FACTORY_A","119.94","43.46","7.18","76.87"
"4645","2026-02-04 05:24","FACTORY_A","119.87","45.66","7.19","83.03"
"4646","2026-02-04 05:25","FACTORY_A","117.49","43.45","7.19","82.88"
"4647","2026-02-04 05:26","FACTORY_A","119.82","44.20","7.18","81.41"
"4648","2026-02-04 05:27","FACTORY_A","117.70","44.44","7.19","74.47"
"4649","2026-02-04 05:28","FACTORY_A","120.51","49.47","7.14","75.03"
"4650","2026-02-04 05:29","FACTORY_A","119.29","44.98","7.17","79.53"
"4651","2026-02-04 05:30","FACTORY_A","117.17","43.77","7.12","85.21"
"4652","2026-02-04 05:31","FACTORY_A","122.98","44.33","7.22","84.55"
"4653","2026-02-04 05:32","FACTORY_A","121.28","42.74","7.20","78.00"
"4654","2026-02-04 05:33","FACTORY_A","118.66","44.76","7.19","70.87"
"4655","2026-02-04 05:34","FACTORY_A","120.44","47.78","7.24","86.68"
"4656","2026-02-04 05:35","FACTORY_A","119.75","45.50","7.16","86.20"
"4657","2026-02-04 05:36","FACTORY_A","117.40","46.36","7.16","80.62"
"4658","2026-02-04 05:37","FACTORY_A","120.21","43.64","7.13","77.85"
"4659","2026-02-04 05:38","FACTORY_A","118.14","44.69","7.25","78.46"
"4660","2026-02-04 05:39","FACTORY_A","117.17","45.31","7.23","84.66"
"4661","2026-02-04 05:40","FACTORY_A","115.13","43.91","7.27","82.68"
"4662","2026-02-04 05:41","FACTORY_A","118.92","45.60","7.28","77.86"
"4663","2026-02-04 05:42","FACTORY_A","121.70","45.92","7.18","91.01"
"4664","2026-02-04 05:43","FACTORY_A","117.92","45.81","7.16","72.35"
"4665","2026-02-04 05:44","FACTORY_A","127.56","44.77","7.11","76.99"
"4666","2026-02-04 05:45","FACTORY_A","122.66","46.64","7.15","77.10"
"4667","2026-02-04 05:46","FACTORY_A","123.91","44.61","7.18","80.53"
"4668","2026-02-04 05:47","FACTORY_A","122.39","44.48","7.10","85.66"
"4669","2026-02-04 05:48","FACTORY_A","125.56","47.16","7.15","84.14"
"4670","2026-02-04 05:49","FACTORY_A","117.64","43.34","7.20","80.63"
"4671","2026-02-04 05:50","FACTORY_A","112.32","42.45","7.24","73.36"
"4672","2026-02-04 05:51","FACTORY_A","118.66","43.70","7.16","84.78"
"4673","2026-02-04 05:52","FACTORY_A","121.67","45.58","7.21","74.32"
"4674","2026-02-04 05:53","FACTORY_A","120.45","46.93","7.29","77.99"
"4675","2026-02-04 05:54","FACTORY_A","120.83","44.01","7.11","79.62"
"4676","2026-02-04 05:55","FACTORY_A","123.96","47.72","7.25","75.96"
"4677","2026-02-04 05:56","FACTORY_A","121.15","45.04","7.22","75.87"
"4678","2026-02-04 05:57","FACTORY_A","122.40","44.83","7.26","84.43"
"4679","2026-02-04 05:58","FACTORY_A","117.18","43.73","7.25","87.27"
"4680","2026-02-04 05:59","FACTORY_A","116.71","47.93","7.17","79.63"
"4681","2026-02-04 06:00","FACTORY_A","124.84","44.77","7.20","71.10"
"4682","2026-02-04 06:01","FACTORY_A","120.30","43.00","7.13","81.40"
"4683","2026-02-04 06:02","FACTORY_A","118.13","48.69","7.17","76.52"
"4684","2026-02-04 06:03","FACTORY_A","118.14","45.59","7.20","81.80"
"4685","2026-02-04 06:04","FACTORY_A","118.05","46.20","7.22","81.48"
"4686","2026-02-04 06:05","FACTORY_A","117.87","47.52","7.24","70.59"
"4687","2026-02-04 06:06","FACTORY_A","116.15","45.92","7.28","78.05"
"4688","2026-02-04 06:07","FACTORY_A","115.50","46.46","7.18","83.08"
"4689","2026-02-04 06:08","FACTORY_A","119.41","45.08","7.26","79.53"
"4690","2026-02-04 06:09","FACTORY_A","118.22","46.10","7.21","74.52"
"4691","2026-02-04 06:10","FACTORY_A","123.32","44.95","7.13","83.28"
"4692","2026-02-04 06:11","FACTORY_A","120.88","44.97","7.19","71.67"
"4693","2026-02-04 06:12","FACTORY_A","120.80","45.18","7.21","81.17"
"4694","2026-02-04 06:13","FACTORY_A","117.77","44.40","7.16","77.30"
"4695","2026-02-04 06:14","FACTORY_A","119.64","45.76","7.15","82.17"
"4696","2026-02-04 06:15","FACTORY_A","121.08","45.75","7.15","78.86"
"4697","2026-02-04 06:16","FACTORY_A","122.15","46.23","7.17","82.43"
"4698","2026-02-04 06:17","FACTORY_A","119.72","45.96","7.16","86.81"
"4699","2026-02-04 06:18","FACTORY_A","123.24","48.00","7.26","83.47"
"4700","2026-02-04 06:19","FACTORY_A","120.02","46.58","7.08","83.38"
"4701","2026-02-04 06:20","FACTORY_A","122.38","44.69","7.21","82.91"
"4702","2026-02-04 06:21","FACTORY_A","118.53","45.68","7.23","71.42"
"4703","2026-02-04 06:22","FACTORY_A","114.56","47.12","7.15","80.40"
"4704","2026-02-04 06:23","FACTORY_A","120.81","43.58","7.19","81.35"
"4705","2026-02-04 06:24","FACTORY_A","122.18","48.02","7.18","82.76"
"4706","2026-02-04 06:25","FACTORY_A","121.73","43.84","7.20","79.58"
"4707","2026-02-04 06:26","FACTORY_A","121.27","46.35","7.23","83.58"
"4708","2026-02-04 06:27","FACTORY_A","118.95","45.01","7.23","75.21"
"4709","2026-02-04 06:28","FACTORY_A","117.58","44.92","7.17","89.96"
"4710","2026-02-04 06:29","FACTORY_A","121.66","43.05","7.12","82.79"
"4711","2026-02-04 06:30","FACTORY_A","121.28","46.36","7.21","75.40"
"4712","2026-02-04 06:31","FACTORY_A","118.32","43.07","7.17","86.78"
"4713","2026-02-04 06:32","FACTORY_A","123.33","42.84","7.17","74.42"
"4714","2026-02-04 06:33","FACTORY_A","117.35","46.74","7.21","80.05"
"4715","2026-02-04 06:34","FACTORY_A","118.25","47.68","7.18","80.58"
"4716","2026-02-04 06:35","FACTORY_A","124.91","44.00","7.22","77.95"
"4717","2026-02-04 06:36","FACTORY_A","122.61","46.50","7.33","79.39"
"4718","2026-02-04 06:37","FACTORY_A","118.93","46.19","7.23","80.32"
"4719","2026-02-04 06:38","FACTORY_A","120.86","44.86","7.27","74.63"
"4720","2026-02-04 06:39","FACTORY_A","120.46","47.00","7.23","81.37"
"4721","2026-02-04 06:40","FACTORY_A","111.76","44.75","7.20","80.01"
"4722","2026-02-04 06:41","FACTORY_A","117.28","45.78","7.23","89.72"
"4723","2026-02-04 06:42","FACTORY_A","119.85","43.12","7.22","87.42"
"4724","2026-02-04 06:43","FACTORY_A","118.93","43.18","7.24","76.33"
"4725","2026-02-04 06:44","FACTORY_A","120.74","46.75","7.20","79.29"
"4726","2026-02-04 06:45","FACTORY_A","123.39","45.83","7.13","76.53"
"4727","2026-02-04 06:46","FACTORY_A","119.04","44.79","7.13","78.72"
"4728","2026-02-04 06:47","FACTORY_A","116.83","47.86","7.22","84.30"
"4729","2026-02-04 06:48","FACTORY_A","120.97","47.85","7.14","79.49"
"4730","2026-02-04 06:49","FACTORY_A","119.02","45.66","7.23","77.51"
"4731","2026-02-04 06:50","FACTORY_A","119.53","42.82","7.27","83.03"
"4732","2026-02-04 06:51","FACTORY_A","119.12","44.83","7.19","70.32"
"4733","2026-02-04 06:52","FACTORY_A","126.73","43.75","7.26","78.07"
"4734","2026-02-04 06:53","FACTORY_A","113.28","45.13","7.21","86.85"
"4735","2026-02-04 06:54","FACTORY_A","118.83","43.60","7.20","87.09"
"4736","2026-02-04 06:55","FACTORY_A","119.99","43.21","7.20","86.53"
"4737","2026-02-04 06:56","FACTORY_A","117.66","41.61","7.16","73.84"
"4738","2026-02-04 06:57","FACTORY_A","122.70","45.25","7.15","73.81"
"4739","2026-02-04 06:58","FACTORY_A","122.44","41.55","7.12","77.53"
"4740","2026-02-04 06:59","FACTORY_A","119.86","44.52","7.16","80.06"
"4741","2026-02-04 07:00","FACTORY_A","119.19","46.04","7.31","76.33"
"4742","2026-02-04 07:01","FACTORY_A","119.66","43.92","7.13","71.60"
"4743","2026-02-04 07:02","FACTORY_A","119.69","43.37","7.14","84.64"
"4744","2026-02-04 07:03","FACTORY_A","119.76","44.90","7.16","83.81"
"4745","2026-02-04 07:04","FACTORY_A","119.44","43.76","7.16","77.05"
"4746","2026-02-04 07:05","FACTORY_A","120.76","45.28","7.21","83.56"
"4747","2026-02-04 07:06","FACTORY_A","122.26","43.45","7.17","84.72"
"4748","2026-02-04 07:07","FACTORY_A","116.31","44.84","7.19","68.10"
"4749","2026-02-04 07:08","FACTORY_A","116.85","44.48","7.16","83.22"
"4750","2026-02-04 07:09","FACTORY_A","114.75","44.98","7.18","79.70"
"4751","2026-02-04 07:10","FACTORY_A","122.60","47.45","7.20","67.43"
"4752","2026-02-04 07:11","FACTORY_A","120.75","45.30","7.19","85.09"
"4753","2026-02-04 07:12","FACTORY_A","121.52","45.76","7.30","80.40"
"4754","2026-02-04 07:13","FACTORY_A","115.71","44.06","7.20","72.02"
"4755","2026-02-04 07:14","FACTORY_A","125.35","45.33","7.19","81.99"
